"Date","URL","Endid","Title","Brand_name","Position"
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/dol-de-bretagne/domaine-des-ormes-glamping/camping","83741","Camping Domaine des Ormes (Glamping)","Canvas Holidays",7
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/dol-de-bretagne/domaine-des-ormes-glamping/camping","83741","Camping Domaine des Ormes (Glamping)","TUI",8
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/dol-de-bretagne/domaine-des-ormes-glamping/camping","83741","Camping Domaine des Ormes (Glamping)","Expedia.nl",9
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/dol-de-bretagne/domaine-des-ormes-glamping/camping","83741","Camping Domaine des Ormes (Glamping)","Al Fresco",10
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/perros-guirec/yelloh-village-le-ranolien/camping","83837","Camping Le Ranolien","Yelloh! Village",1
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/perros-guirec/yelloh-village-le-ranolien/camping","83837","Camping Le Ranolien","Allcamps",2
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/perros-guirec/yelloh-village-le-ranolien/camping","83837","Camping Le Ranolien","Go4holiday",3
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/perros-guirec/yelloh-village-le-ranolien/camping","83837","Camping Le Ranolien","Lux-camp",4
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/perros-guirec/yelloh-village-le-ranolien/camping","83837","Camping Le Ranolien","D-reizen",5
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/perros-guirec/yelloh-village-le-ranolien/camping","83837","Camping Le Ranolien","TUI",6
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/perros-guirec/yelloh-village-le-ranolien/camping","83837","Camping Le Ranolien","Eurocamp",7
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/perros-guirec/yelloh-village-le-ranolien/camping","83837","Camping Le Ranolien","AlleReizenOp1Site.nl",8
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carantec/yelloh-village-les-mouettes/camping","83703","Camping Yelloh! Village Les Mouettes","Eurocamp",1
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carantec/yelloh-village-les-mouettes/camping","83703","Camping Yelloh! Village Les Mouettes","Roan Campingvakanties",2
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carantec/yelloh-village-les-mouettes/camping","83703","Camping Yelloh! Village Les Mouettes","Yelloh! Village",3
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carantec/yelloh-village-les-mouettes/camping","83703","Camping Yelloh! Village Les Mouettes","Allcamps",4
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carantec/yelloh-village-les-mouettes/camping","83703","Camping Yelloh! Village Les Mouettes","Go4holiday",5
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carantec/yelloh-village-les-mouettes/camping","83703","Camping Yelloh! Village Les Mouettes","Lux-camp",6
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carantec/yelloh-village-les-mouettes/camping","83703","Camping Yelloh! Village Les Mouettes","ANWB camping",7
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carantec/yelloh-village-les-mouettes/camping","83703","Camping Yelloh! Village Les Mouettes","De Jong Intra",8
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carantec/yelloh-village-les-mouettes/camping","83703","Camping Yelloh! Village Les Mouettes","Suncamp",9
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carantec/yelloh-village-les-mouettes/camping","83703","Camping Yelloh! Village Les Mouettes","D-reizen",10
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/fouesnant/latlantique/camping","83769","Camping L'Atlantique","Allcamps",1
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/fouesnant/latlantique/camping","83769","Camping L'Atlantique","Go4holiday",2
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/fouesnant/latlantique/camping","83769","Camping L'Atlantique","Lux-camp",3
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/fouesnant/latlantique/camping","83769","Camping L'Atlantique","Vacanceselect",4
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/fouesnant/latlantique/camping","83769","Camping L'Atlantique","Canvas Holidays",5
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/fouesnant/latlantique/camping","83769","Camping L'Atlantique","Venue Holidays",6
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/fouesnant/latlantique/camping","83769","Camping L'Atlantique","Booking.com",7
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/fouesnant/latlantique/camping","83769","Camping L'Atlantique","D-reizen",8
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/fouesnant/latlantique/camping","83769","Camping L'Atlantique","Eurocamp",9
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/fouesnant/latlantique/camping","83769","Camping L'Atlantique","AlleReizenOp1Site.nl",10
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/locunole/iris-parc-le-ty-nadan/camping","83667","Camping Iris Parc Le Ty Nadan","Eurocamp",1
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/locunole/iris-parc-le-ty-nadan/camping","83667","Camping Iris Parc Le Ty Nadan","Allcamps",2
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/locunole/iris-parc-le-ty-nadan/camping","83667","Camping Iris Parc Le Ty Nadan","Go4holiday",3
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/locunole/iris-parc-le-ty-nadan/camping","83667","Camping Iris Parc Le Ty Nadan","Lux-camp",4
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/locunole/iris-parc-le-ty-nadan/camping","83667","Camping Iris Parc Le Ty Nadan","D-reizen",5
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/locunole/iris-parc-le-ty-nadan/camping","83667","Camping Iris Parc Le Ty Nadan","AlleReizenOp1Site.nl",6
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/nevez-finistere/le-raguenes-plage/camping","83885","Camping Le Raguenès Plage","Eurocamp",1
